Robots,Repetition,WallTime(s),CPU,MaxMem(kB)
10,1,7.76 CPU=51% MEM=54736,WALLTIME=7.76 51% MEM=54736,WALLTIME=7.76 CPU=51% 54736
10,2,7.85 CPU=52% MEM=54736,WALLTIME=7.85 52% MEM=54736,WALLTIME=7.85 CPU=52% 54736
10,3,7.78 CPU=52% MEM=55088,WALLTIME=7.78 52% MEM=55088,WALLTIME=7.78 CPU=52% 55088
10,4,7.87 CPU=52% MEM=54912,WALLTIME=7.87 52% MEM=54912,WALLTIME=7.87 CPU=52% 54912
10,5,7.79 CPU=52% MEM=54736,WALLTIME=7.79 52% MEM=54736,WALLTIME=7.79 CPU=52% 54736
10,6,7.73 CPU=51% MEM=54384,WALLTIME=7.73 51% MEM=54384,WALLTIME=7.73 CPU=51% 54384
10,7,7.77 CPU=51% MEM=54912,WALLTIME=7.77 51% MEM=54912,WALLTIME=7.77 CPU=51% 54912
10,8,7.76 CPU=51% MEM=54912,WALLTIME=7.76 51% MEM=54912,WALLTIME=7.76 CPU=51% 54912
10,9,7.71 CPU=51% MEM=54912,WALLTIME=7.71 51% MEM=54912,WALLTIME=7.71 CPU=51% 54912
10,10,7.79 CPU=51% MEM=55088,WALLTIME=7.79 51% MEM=55088,WALLTIME=7.79 CPU=51% 55088
10,11,7.77 CPU=51% MEM=54912,WALLTIME=7.77 51% MEM=54912,WALLTIME=7.77 CPU=51% 54912
10,12,7.80 CPU=51% MEM=54912,WALLTIME=7.80 51% MEM=54912,WALLTIME=7.80 CPU=51% 54912
10,13,7.84 CPU=52% MEM=54912,WALLTIME=7.84 52% MEM=54912,WALLTIME=7.84 CPU=52% 54912
10,14,7.78 CPU=51% MEM=54912,WALLTIME=7.78 51% MEM=54912,WALLTIME=7.78 CPU=51% 54912
10,15,7.81 CPU=51% MEM=55088,WALLTIME=7.81 51% MEM=55088,WALLTIME=7.81 CPU=51% 55088
10,16,8.03 CPU=53% MEM=54912,WALLTIME=8.03 53% MEM=54912,WALLTIME=8.03 CPU=53% 54912
